time,bus_voltage,bus_current,power,,,,time,,bus_voltage,time
Wed Sep 11 10:43:31 2019,10.952,1830.304878,20051.21951,,,, 10:43:31 2019,,10.952, 10:43:31 
Wed Sep 11 10:48:31 2019,11.272,0,0,,,, 10:48:31 2019,,11.272, 10:48:31 
Wed Sep 11 10:53:31 2019,11.232,0,0,,,, 10:53:31 2019,,11.232, 10:53:31 
Wed Sep 11 10:58:31 2019,11.336,0,0,,,, 10:58:31 2019,,11.336, 10:58:31 
Wed Sep 11 11:03:31 2019,11.316,0,0,,,, 11:03:31 2019,,11.316, 11:03:31 
Wed Sep 11 11:08:31 2019,11.328,0,0,,,, 11:08:31 2019,,11.328, 11:08:31 
Wed Sep 11 11:13:31 2019,11.368,0,0,,,, 11:13:31 2019,,11.368, 11:13:31 
Wed Sep 11 11:18:32 2019,11.356,0,0,,,, 11:18:32 2019,,11.356, 11:18:32 
Wed Sep 11 11:23:32 2019,11.288,0,0,,,, 11:23:32 2019,,11.288, 11:23:32 
Wed Sep 11 11:28:32 2019,11.4,0,0,,,, 11:28:32 2019,,11.4, 11:28:32 
Wed Sep 11 11:33:32 2019,11.412,0,0,,,, 11:33:32 2019,,11.412, 11:33:32 
Wed Sep 11 11:38:32 2019,11.336,0,0,,,, 11:38:32 2019,,11.336, 11:38:32 
Wed Sep 11 11:43:32 2019,11.52,0,0,,,, 11:43:32 2019,,11.52, 11:43:32 
Wed Sep 11 11:48:32 2019,11.444,0,0,,,, 11:48:32 2019,,11.444, 11:48:32 
Wed Sep 11 11:53:32 2019,11.38,0,0,,,, 11:53:32 2019,,11.38, 11:53:32 
Wed Sep 11 11:58:32 2019,11.488,0,0,,,, 11:58:32 2019,,11.488, 11:58:32 
Wed Sep 11 12:03:32 2019,11.456,0,0,,,, 12:03:32 2019,,11.456, 12:03:32 
Wed Sep 11 12:08:32 2019,11.532,0,0,,,, 12:08:32 2019,,11.532, 12:08:32 
Wed Sep 11 12:13:33 2019,11.588,0,0,,,, 12:13:33 2019,,11.588, 12:13:33 
Wed Sep 11 12:18:33 2019,11.656,0,0,,,, 12:18:33 2019,,11.656, 12:18:33 
Wed Sep 11 12:23:33 2019,11.44,0,0,,,, 12:23:33 2019,,11.44, 12:23:33 
Wed Sep 11 12:28:33 2019,11.592,0,0,,,, 12:28:33 2019,,11.592, 12:28:33 
Wed Sep 11 12:33:33 2019,11.468,0,0,,,, 12:33:33 2019,,11.468, 12:33:33 
Wed Sep 11 12:38:33 2019,11.416,0,0,,,, 12:38:33 2019,,11.416, 12:38:33 
Wed Sep 11 12:43:33 2019,11.576,0,0,,,, 12:43:33 2019,,11.576, 12:43:33 
Wed Sep 11 12:48:33 2019,11.572,0,0,,,, 12:48:33 2019,,11.572, 12:48:33 
Wed Sep 11 12:53:33 2019,11.58,0,0,,,, 12:53:33 2019,,11.58, 12:53:33 
Wed Sep 11 12:58:33 2019,11.612,0,0,,,, 12:58:33 2019,,11.612, 12:58:33 
Wed Sep 11 13:03:33 2019,11.596,0,0,,,, 13:03:33 2019,,11.596, 13:03:33 
Wed Sep 11 13:08:33 2019,11.504,0,0,,,, 13:08:33 2019,,11.504, 13:08:33 
Wed Sep 11 13:13:33 2019,11.492,0,0,,,, 13:13:33 2019,,11.492, 13:13:33 
Wed Sep 11 13:18:34 2019,11.508,0,0,,,, 13:18:34 2019,,11.508, 13:18:34 
Wed Sep 11 13:23:34 2019,11.424,0,0,,,, 13:23:34 2019,,11.424, 13:23:34 
Wed Sep 11 13:28:34 2019,11.352,0,0,,,, 13:28:34 2019,,11.352, 13:28:34 
Wed Sep 11 13:33:34 2019,11.332,0,0,,,, 13:33:34 2019,,11.332, 13:33:34 
Wed Sep 11 13:38:34 2019,11.284,0,0,,,, 13:38:34 2019,,11.284, 13:38:34 
Wed Sep 11 13:43:34 2019,11.36,0,0,,,, 13:43:34 2019,,11.36, 13:43:34 
Wed Sep 11 13:48:34 2019,11.448,0,0,,,, 13:48:34 2019,,11.448, 13:48:34 
Wed Sep 11 13:53:34 2019,11.512,0,0,,,, 13:53:34 2019,,11.512, 13:53:34 
Wed Sep 11 13:58:34 2019,11.496,0,0,,,, 13:58:34 2019,,11.496, 13:58:34 
Wed Sep 11 14:03:34 2019,11.504,0,0,,,, 14:03:34 2019,,11.504, 14:03:34 
Wed Sep 11 14:08:34 2019,11.488,0,0,,,, 14:08:34 2019,,11.488, 14:08:34 
Wed Sep 11 14:13:34 2019,11.516,0,0,,,, 14:13:34 2019,,11.516, 14:13:34 
Wed Sep 11 14:18:34 2019,11.456,0,0,,,, 14:18:34 2019,,11.456, 14:18:34 
