Time,Humidity,Temperature,Voltage,Current,Power
10.0,55.0,24.8,12.88,13.29,165.85365853658539
20.0,54.0,24.8,12.88,12.93,168.2926829268293
30.0,18.2,14.0,12.85,12.68,163.41463414634146
40.0,21.6,1.3,12.83,12.8,162.1951219512195
50.0,23.1,-4.6,12.8,12.68,162.1951219512195
60.0,24.1,-8.2,12.78,12.38,157.3170731707317
70.0,26.3,-10.3,12.75,12.38,156.09756097560975
80.0,26.2,-11.9,12.73,12.38,159.7560975609756
90.0,28.6,-12.3,12.7,12.38,156.09756097560975
100.0,31.8,-12.1,12.68,12.07,156.09756097560975
110.0,31.8,-12.1,12.66,12.01,153.65853658536585
120.0,30.0,-13.5,12.64,12.2,153.65853658536585
130.0,32.2,-14.7,12.62,11.89,152.4390243902439
140.0,31.6,-15.7,12.6,12.2,150.0
150.0,34.5,-14.9,12.58,12.01,152.4390243902439
160.0,38.7,-13.4,12.56,12.01,153.65853658536585
170.0,42.4,-12.1,12.55,12.01,150.0
180.0,36.6,-13.4,12.54,11.89,152.4390243902439
190.0,34.4,-15.2,12.52,12.01,150.0
200.0,36.9,-15.0,12.51,12.07,153.65853658536585
210.0,43.6,-14.1,12.5,12.2,147.5609756097561
220.0,38.3,-15.1,12.48,11.89,152.4390243902439
230.0,36.3,-16.7,12.47,11.89,147.5609756097561
240.0,38.6,-16.4,12.46,12.01,150.0
250.0,43.2,-15.1,12.45,12.01,147.5609756097561
260.0,45.4,-13.5,12.45,12.2,150.0
270.0,56.2,-12.1,12.44,11.89,153.65853658536585
280.0,41.2,-13.3,12.43,12.07,150.0
290.0,37.9,-15.6,12.42,11.89,150.0
300.0,37.5,-17.4,12.41,11.89,147.5609756097561
310.0,42.1,-16.8,12.4,12.01,147.5609756097561
320.0,45.0,-15.3,12.4,12.07,147.5609756097561
330.0,49.3,-13.9,12.39,11.77,150.0
340.0,52.0,-12.4,12.39,12.01,147.5609756097561
350.0,53.2,-11.0,12.38,11.71,147.5609756097561
360.0,54.8,-9.6,12.38,12.07,147.5609756097561
370.0,56.6,-8.4,12.38,12.07,147.5609756097561
380.0,39.4,-10.3,12.38,11.77,146.34146341463415
390.0,36.5,-13.8,12.37,11.71,143.90243902439022
400.0,39.5,-16.3,12.36,11.59,143.90243902439022
410.0,40.8,-17.5,12.36,11.59,147.5609756097561
420.0,45.0,-16.3,12.35,12.01,146.34146341463415
430.0,49.6,-15.0,12.34,11.89,146.34146341463415
440.0,52.7,-13.4,12.34,12.01,143.90243902439022
450.0,54.1,-11.9,12.34,12.01,143.90243902439022
460.0,55.5,-10.5,12.34,12.01,150.0
470.0,56.7,-9.3,12.34,12.01,147.5609756097561
480.0,56.9,-8.1,12.34,11.89,146.34146341463415
490.0,41.9,-10.2,12.33,11.71,146.34146341463415
500.0,39.2,-13.5,12.32,11.89,141.46341463414632
510.0,38.6,-16.0,12.32,11.77,147.5609756097561
520.0,44.4,-15.9,12.31,11.89,143.90243902439022
530.0,48.7,-14.8,12.31,11.89,146.34146341463415
540.0,52.1,-13.3,12.3,11.59,143.90243902439022
550.0,53.7,-11.8,12.3,11.89,143.90243902439022
560.0,55.6,-10.5,12.3,11.89,147.5609756097561
570.0,56.7,-9.2,12.3,11.89,143.90243902439022
580.0,57.9,-8.1,12.3,11.77,146.34146341463415
590.0,54.7,-7.1,12.3,11.77,143.90243902439022
600.0,39.0,-10.0,12.29,11.89,141.46341463414632
610.0,36.8,-13.8,12.29,11.4,141.46341463414632
620.0,38.4,-16.3,12.28,11.52,143.90243902439022
630.0,44.7,-15.7,12.27,11.52,147.5609756097561
640.0,49.1,-14.5,12.26,12.01,143.90243902439022
650.0,52.1,-13.0,12.26,11.89,143.90243902439022
660.0,53.8,-11.5,12.26,11.71,141.46341463414632
670.0,56.0,-10.2,12.26,11.59,141.46341463414632
680.0,57.1,-9.0,12.26,11.77,146.34146341463415
690.0,58.4,-7.8,12.26,12.07,143.90243902439022
700.0,59.1,-6.8,12.26,12.01,146.34146341463415
710.0,40.3,-8.8,12.26,11.89,147.5609756097561
720.0,36.8,-13.0,12.25,11.89,146.34146341463415
730.0,37.3,-15.9,12.24,11.59,146.34146341463415
740.0,44.3,-15.7,12.24,11.59,141.46341463414632
750.0,48.7,-14.5,12.23,11.59,141.46341463414632
760.0,51.8,-13.0,12.22,11.71,146.34146341463415
770.0,53.9,-11.5,12.22,11.71,146.34146341463415
780.0,56.0,-10.2,12.22,11.89,141.46341463414632
790.0,57.5,-8.9,12.22,11.59,146.34146341463415
800.0,58.8,-7.8,12.22,11.77,146.34146341463415
810.0,59.5,-6.8,12.22,12.01,141.46341463414632
820.0,43.2,-7.5,12.21,11.52,143.90243902439022
830.0,36.9,-11.7,12.21,11.59,143.90243902439022
840.0,36.8,-15.1,12.2,11.71,140.2439024390244
850.0,42.6,-15.9,12.19,11.59,140.2439024390244
860.0,47.4,-14.6,12.18,12.01,146.34146341463415
870.0,51.1,-13.4,12.18,11.59,140.2439024390244
880.0,53.5,-11.8,12.18,11.59,141.46341463414632
890.0,55.4,-10.5,12.18,11.71,141.46341463414632
900.0,57.4,-9.2,12.17,11.89,143.90243902439022
910.0,58.7,-8.1,12.17,11.89,143.90243902439022
920.0,59.9,-7.0,12.16,11.89,140.2439024390244
930.0,49.4,-6.5,12.17,11.59,143.90243902439022
940.0,37.5,-10.3,12.16,11.59,141.46341463414632
950.0,36.4,-14.1,12.15,11.59,140.2439024390244
960.0,40.7,-16.0,12.14,11.59,140.2439024390244
970.0,46.2,-15.0,12.13,11.4,141.46341463414632
980.0,50.0,-13.8,12.13,11.59,137.8048780487805
990.0,52.9,-12.3,12.13,11.71,140.2439024390244
1000.0,54.6,-10.9,12.12,11.28,140.2439024390244
1010.0,56.9,-9.6,12.12,11.71,141.46341463414632
1020.0,58.2,-8.4,12.12,11.52,140.2439024390244
1030.0,59.5,-7.4,12.12,11.59,140.2439024390244
1040.0,60.3,-6.3,12.12,11.71,141.46341463414632
1050.0,40.8,-8.1,12.11,11.71,140.2439024390244
1060.0,36.6,-12.4,12.1,11.71,141.46341463414632
1070.0,36.9,-15.5,12.09,11.71,140.2439024390244
1080.0,44.1,-15.5,12.09,11.71,141.46341463414632
1090.0,48.3,-14.3,12.08,11.71,141.46341463414632
1100.0,51.6,-12.9,12.08,11.89,140.2439024390244
1110.0,54.5,-11.4,12.07,11.52,141.46341463414632
1120.0,56.5,-10.1,12.07,11.71,146.34146341463415
1130.0,58.2,-8.8,12.06,11.71,135.3658536585366
1140.0,59.5,-7.7,12.06,11.71,140.2439024390244
1150.0,44.8,-7.9,12.06,11.52,140.2439024390244
1160.0,37.2,-11.9,12.06,11.59,137.8048780487805
1170.0,42.3,-14.7,12.04,11.59,137.8048780487805
1180.0,40.3,-16.5,12.04,11.4,137.8048780487805
1190.0,42.7,-17.8,12.03,11.71,137.8048780487805
1200.0,42.5,-18.7,12.02,11.52,137.8048780487805
1210.0,45.9,-19.2,12.0,11.28,137.8048780487805
1220.0,43.4,-19.6,11.99,11.52,134.14634146341464
1230.0,44.1,-20.2,11.98,11.4,137.8048780487805
1240.0,47.2,-20.4,11.97,11.22,135.3658536585366
1250.0,45.3,-20.4,11.96,11.52,134.14634146341464
1260.0,44.5,-20.5,11.96,10.98,137.8048780487805
1270.0,48.7,-19.2,11.95,11.4,135.3658536585366
1280.0,53.2,-17.6,11.94,11.59,135.3658536585366
1290.0,55.4,-15.9,11.94,11.28,134.14634146341464
1300.0,55.9,-14.4,11.93,11.59,135.3658536585366
1310.0,56.3,-12.9,11.93,11.28,134.14634146341464
1320.0,55.0,-11.6,11.93,11.4,135.3658536585366
1330.0,41.6,-13.5,11.92,11.4,135.3658536585366
1340.0,39.4,-16.4,11.92,11.59,137.8048780487805
1350.0,41.8,-18.3,11.91,11.4,134.14634146341464
1360.0,42.9,-19.1,11.9,11.28,134.14634146341464
1370.0,47.6,-18.2,11.89,11.28,134.14634146341464
1380.0,52.3,-16.6,11.89,11.4,135.3658536585366
1390.0,53.9,-15.1,11.88,11.28,134.14634146341464
1400.0,50.9,-13.8,11.88,11.4,134.14634146341464
1410.0,42.1,-15.6,11.88,11.28,135.3658536585366
1420.0,46.6,-17.4,11.87,11.28,131.70731707317074
1430.0,45.9,-18.3,11.86,11.28,134.14634146341464
1440.0,43.6,-19.2,11.86,11.28,134.14634146341464
1450.0,42.7,-20.1,11.85,11.1,134.14634146341464
1460.0,44.0,-20.6,11.84,11.22,131.70731707317074
1470.0,45.2,-20.5,11.83,11.22,131.70731707317074
1480.0,49.6,-19.3,11.83,11.28,134.14634146341464
1490.0,52.0,-17.7,11.82,11.22,134.14634146341464
1500.0,47.8,-18.1,11.82,11.28,131.70731707317074
1510.0,46.3,-18.9,11.81,11.28,131.70731707317074
1520.0,44.0,-19.8,11.8,11.28,131.70731707317074
1530.0,45.3,-20.6,11.8,11.22,134.14634146341464
