Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,41.6,28.2,12.96,14.27,185.37,0,0
20.0,41.4,28.2,12.95,14.02,181.71,0,0
30.0,19.4,27.6,12.93,13.78,181.71,0,0
40.0,16.8,26.5,12.91,13.78,178.05,0,0
50.0,13.6,24.6,12.89,13.48,178.05,0,0
60.0,14.4,22.4,12.88,13.48,171.95,0,0
70.0,13.6,20.0,12.85,13.72,175.61,0,0
80.0,12.7,17.8,12.84,13.48,171.95,0,0
90.0,14.0,15.7,12.82,13.6,171.95,0,0
100.0,13.0,13.8,12.8,13.6,175.61,0,1
110.0,11.2,12.1,12.42,13.29,168.29,0,1
120.0,11.8,15.8,12.34,13.41,162.2,0,0
130.0,11.3,19.6,12.59,13.48,169.51,0,0
140.0,10.7,17.4,12.58,13.41,169.51,0,0
150.0,13.7,12.9,12.57,13.11,163.41,0,1
160.0,13.6,12.7,12.23,12.99,157.32,0,1
170.0,15.2,16.8,12.15,13.11,157.32,0,0
180.0,16.5,19.5,12.39,13.17,163.41,0,0
190.0,16.5,19.4,12.39,13.29,163.41,0,0
200.0,24.1,17.7,12.38,12.93,163.41,0,0
210.0,20.2,15.2,12.37,13.17,159.76,0,0
220.0,20.2,15.2,12.36,13.11,163.41,0,0
230.0,16.4,13.7,12.35,12.99,159.76,0,1
240.0,14.7,11.9,12.04,12.93,153.66,0,1
250.0,13.1,15.2,11.96,12.5,153.66,0,0
260.0,12.1,18.5,12.19,12.8,157.32,0,0
270.0,11.7,15.8,12.19,12.93,156.1,0,0
280.0,11.6,13.1,12.18,12.99,157.32,0,1
290.0,13.3,10.7,11.87,12.68,150.0,0,1
300.0,15.1,14.1,11.79,12.5,146.34,0,1
310.0,15.4,18.1,11.72,12.32,146.34,0,0
320.0,15.6,21.3,11.96,12.62,153.66,0,0
330.0,12.7,18.6,11.96,12.68,153.66,0,0
340.0,11.7,12.5,11.96,12.5,152.44,0,1
350.0,11.6,12.3,11.63,12.2,146.34,0,1
360.0,13.3,14.5,11.53,12.2,140.24,0,1
370.0,14.1,17.9,11.42,12.38,137.8,0,0
380.0,14.8,20.6,11.71,12.62,147.56,0,0
390.0,15.8,18.4,11.72,12.5,147.56,0,0
400.0,14.7,16.1,11.72,12.62,147.56,0,0
410.0,12.6,13.8,11.72,12.62,146.34,0,1
420.0,12.2,11.4,11.3,12.07,135.37,0,1
430.0,12.0,13.3,11.11,11.89,131.71,0,1
440.0,14.0,18.4,10.44,11.28,118.29,0,0
450.0,15.1,16.3,11.35,12.38,135.37,0,0
460.0,15.1,16.3,11.38,12.07,135.37,0,0
470.0,19.1,13.0,11.38,11.89,135.37,0,1
480.0,19.0,12.9,8.2,9.02,74.39,0,1
