Time,Humidity,Temperature,Voltage,Current,Power
10.0,39.7,25.7,12.73,12.99,162.1951219512195
20.0,39.8,25.7,12.74,12.68,159.7560975609756
30.0,26.7,23.5,12.73,12.38,162.1951219512195
40.0,17.5,22.7,12.72,12.2,163.41463414634146
50.0,16.9,21.3,12.72,12.62,163.41463414634146
60.0,14.4,19.5,12.7,12.62,162.1951219512195
70.0,13.6,17.2,12.7,12.5,157.3170731707317
80.0,13.3,14.6,12.68,12.38,156.09756097560975
90.0,14.1,12.0,12.67,12.2,159.7560975609756
100.0,16.6,10.0,12.66,12.62,156.09756097560975
110.0,19.5,8.6,12.63,12.01,156.09756097560975
120.0,22.2,7.5,12.64,12.38,157.3170731707317
130.0,20.1,6.8,12.62,12.32,156.09756097560975
140.0,17.5,6.0,12.62,12.38,156.09756097560975
150.0,16.9,5.1,12.6,12.32,153.65853658536585
160.0,19.0,4.2,12.59,12.5,156.09756097560975
170.0,21.4,3.4,12.58,12.2,156.09756097560975
180.0,24.0,2.9,12.58,12.32,156.09756097560975
190.0,26.9,2.5,12.57,12.32,156.09756097560975
200.0,30.0,2.4,12.56,12.2,152.4390243902439
210.0,33.4,2.3,12.55,12.32,153.65853658536585
220.0,23.9,2.3,12.55,12.2,153.65853658536585
230.0,20.1,2.1,12.54,12.07,156.09756097560975
240.0,19.2,1.6,12.53,12.07,152.4390243902439
250.0,21.6,1.0,12.52,12.01,152.4390243902439
260.0,24.8,0.4,12.51,11.89,152.4390243902439
270.0,28.3,0.1,12.51,12.07,153.65853658536585
280.0,30.9,-0.1,12.5,12.07,153.65853658536585
290.0,33.0,-0.2,12.5,12.2,153.65853658536585
300.0,35.4,-0.1,12.49,12.07,152.4390243902439
310.0,21.7,-0.1,12.48,12.32,150.0
320.0,21.7,-0.1,12.48,12.2,150.0
330.0,20.5,-0.3,12.47,12.07,153.65853658536585
340.0,22.7,-0.9,12.46,11.89,152.4390243902439
350.0,26.1,-1.3,12.46,12.07,153.65853658536585
360.0,30.0,-1.6,12.46,12.07,150.0
370.0,32.8,-1.8,12.44,12.2,147.5609756097561
380.0,35.4,-1.9,12.44,11.89,153.65853658536585
390.0,38.0,-1.9,12.44,12.01,150.0
400.0,32.0,-1.7,12.44,12.01,150.0
410.0,25.1,-1.6,12.43,12.07,150.0
420.0,21.9,-1.7,12.42,12.07,150.0
430.0,23.1,-2.0,12.42,12.07,150.0
440.0,25.8,-2.5,12.41,12.2,150.0
450.0,30.2,-2.8,12.4,12.2,152.4390243902439
460.0,35.3,-3.0,12.4,12.01,147.5609756097561
470.0,39.6,-3.1,12.4,12.2,152.4390243902439
480.0,43.2,-3.1,12.4,11.89,146.34146341463415
490.0,42.2,-3.0,12.39,11.89,150.0
500.0,29.4,-3.0,12.38,12.07,152.4390243902439
510.0,24.5,-3.0,12.38,11.89,150.0
520.0,24.0,-3.3,12.38,12.01,147.5609756097561
530.0,26.3,-3.7,12.37,12.07,147.5609756097561
540.0,30.3,-3.9,12.36,12.2,150.0
550.0,35.4,-4.1,12.36,11.89,150.0
560.0,37.9,-4.2,12.36,11.71,150.0
570.0,40.3,-4.2,12.35,11.71,150.0
580.0,42.6,-4.1,12.35,11.89,150.0
590.0,40.1,-4.0,12.34,12.07,150.0
600.0,29.9,-3.9,12.34,12.01,147.5609756097561
610.0,25.6,-3.8,12.34,12.01,146.34146341463415
620.0,25.0,-4.1,12.33,12.01,146.34146341463415
630.0,27.4,-4.5,12.33,11.77,147.5609756097561
640.0,31.8,-4.7,12.32,11.89,147.5609756097561
650.0,36.8,-4.9,12.32,12.01,146.34146341463415
660.0,40.2,-5.0,12.31,11.89,146.34146341463415
670.0,42.5,-5.0,12.31,11.71,146.34146341463415
680.0,41.1,-4.7,12.3,11.89,146.34146341463415
690.0,41.0,-4.8,12.3,11.77,146.34146341463415
700.0,32.0,-4.6,12.3,11.71,143.90243902439022
710.0,27.3,-4.5,12.29,11.89,143.90243902439022
720.0,27.0,-4.7,12.29,11.71,143.90243902439022
730.0,29.2,-5.0,12.29,11.71,147.5609756097561
740.0,33.9,-5.2,12.28,11.89,147.5609756097561
750.0,38.8,-5.3,12.28,11.71,146.34146341463415
760.0,44.0,-5.3,12.27,11.89,143.90243902439022
770.0,44.0,-5.4,12.27,11.89,146.34146341463415
780.0,45.5,-5.2,12.27,11.77,147.5609756097561
790.0,40.9,-5.1,12.26,11.89,147.5609756097561
800.0,31.2,-4.9,12.26,11.71,147.5609756097561
810.0,26.5,-4.9,12.26,12.01,147.5609756097561
820.0,26.8,-5.1,12.25,11.71,143.90243902439022
830.0,28.9,-5.4,12.24,11.71,146.34146341463415
840.0,34.0,-5.6,12.24,11.77,143.90243902439022
850.0,38.8,-5.7,12.24,11.71,146.34146341463415
860.0,41.8,-5.8,12.23,11.71,143.90243902439022
870.0,44.0,-5.8,12.23,11.71,141.46341463414632
880.0,45.2,-5.6,12.23,11.71,141.46341463414632
890.0,40.5,-5.4,12.22,11.59,146.34146341463415
900.0,31.3,-5.3,12.22,11.71,140.2439024390244
910.0,26.6,-5.3,12.22,11.59,141.46341463414632
920.0,27.0,-5.5,12.21,11.59,147.5609756097561
930.0,29.3,-5.7,12.2,11.77,143.90243902439022
940.0,34.3,-5.9,12.2,11.71,143.90243902439022
950.0,39.9,-6.1,12.2,11.71,141.46341463414632
