Time,Humidity,Temperature,Voltage,Current,Power
10.0,43.5,23.8,12.5,804.51,10052.439024390244
20.0,45.3,23.7,12.49,787.13,9834.146341463415
30.0,36.7,-10.6,12.46,783.66,9760.975609756098
40.0,43.7,-15.9,12.42,780.43,9695.121951219513
50.0,47.4,-17.9,12.38,778.23,9640.243902439024
60.0,51.7,-18.7,12.35,778.41,9608.536585365855
70.0,52.9,-19.3,12.32,777.44,9580.487804878048
80.0,59.8,-16.9,12.31,777.44,9570.731707317073
90.0,65.3,-14.5,12.29,800.43,9832.926829268292
100.0,98.4,-8.8,12.28,798.11,9810.975609756097
110.0,51.5,-11.8,12.26,796.65,9770.731707317074
120.0,53.4,-14.9,12.24,794.33,9723.170731707316
130.0,50.6,-17.2,12.22,796.71,9734.146341463415
140.0,57.9,-16.7,12.21,796.4,9729.268292682926
150.0,66.8,-13.9,12.2,797.32,9730.487804878048
160.0,79.5,-9.6,12.2,797.8,9726.829268292682
170.0,79.5,-9.6,12.2,794.15,9692.68292682927
180.0,53.1,-9.2,12.19,791.4,9654.878048780487
190.0,46.6,-14.8,12.17,790.06,9617.073170731708
200.0,48.0,-17.7,12.16,792.44,9640.243902439024
210.0,57.8,-16.3,12.15,792.26,9636.585365853658
220.0,64.3,-13.8,12.15,793.66,9639.024390243902
230.0,73.8,-11.7,12.15,790.73,9607.317073170732
240.0,61.8,-10.2,12.14,788.9,9576.829268292682
250.0,48.4,-14.7,12.13,786.52,9542.682926829268
260.0,48.7,-17.8,12.12,788.41,9554.878048780487
270.0,54.5,-18.3,12.11,788.41,9557.31707317073
280.0,60.2,-15.9,12.1,789.45,9557.31707317073
290.0,65.1,-13.8,12.11,789.94,9558.536585365853
300.0,76.4,-11.9,12.1,790.55,9568.292682926829
310.0,80.7,-10.4,12.1,790.73,9574.390243902439
320.0,82.5,-9.0,12.11,786.65,9526.829268292684
330.0,46.5,-12.2,12.1,785.12,9492.682926829268
340.0,46.9,-16.6,12.09,786.71,9513.414634146342
350.0,54.5,-17.4,12.08,787.44,9514.634146341463
360.0,59.5,-15.1,12.08,787.74,9518.292682926829
370.0,69.4,-13.2,12.08,783.35,9458.536585365853
380.0,78.4,-11.6,12.08,783.23,9463.41463414634
390.0,83.3,-10.1,12.08,783.66,9467.073170731706
400.0,84.1,-8.8,12.08,780.24,9423.170731707318
410.0,48.7,-11.4,12.08,778.05,9401.21951219512
420.0,47.2,-16.1,12.06,776.22,9364.634146341465
430.0,48.4,-18.7,12.05,778.54,9380.487804878048
440.0,55.1,-18.8,12.05,779.15,9376.829268292682
450.0,60.0,-16.5,12.04,779.33,9386.585365853658
460.0,67.6,-14.5,12.04,779.94,9391.463414634145
470.0,74.3,-12.8,12.04,779.82,9392.682926829268
480.0,77.9,-11.3,12.04,781.34,9410.975609756097
490.0,81.2,-9.9,12.04,781.71,9413.414634146342
500.0,82.4,-8.7,12.05,779.15,9386.585365853658
510.0,51.9,-8.9,12.04,776.52,9352.439024390244
520.0,45.9,-14.9,12.04,775.24,9329.268292682927
530.0,47.6,-18.2,12.03,778.05,9354.878048780489
540.0,58.2,-16.3,12.02,778.35,9360.975609756098
550.0,63.9,-14.3,12.02,778.96,9363.414634146342
560.0,69.2,-12.5,12.02,779.33,9370.731707317074
570.0,79.9,-9.7,12.02,779.94,9382.926829268292
580.0,79.8,-9.8,12.03,780.61,9385.365853658535
590.0,54.1,-8.4,12.03,777.32,9357.317073170732
600.0,53.9,-8.4,12.02,775.43,9325.609756097561
610.0,48.9,-13.9,12.02,773.84,9301.21951219512
620.0,49.7,-17.1,12.01,776.46,9320.731707317073
630.0,59.3,-16.0,12.0,776.71,9320.731707317073
640.0,64.4,-14.0,12.0,777.44,9330.487804878048
650.0,69.3,-12.3,12.0,777.26,9330.487804878048
660.0,73.9,-10.9,12.0,777.62,9330.487804878048
670.0,82.7,-8.4,12.0,778.41,9341.463414634147
680.0,82.7,-8.4,12.01,775.85,9317.073170731706
690.0,55.8,-7.8,12.0,773.72,9286.58536585366
700.0,45.6,-14.1,12.0,772.13,9254.878048780487
710.0,47.1,-17.7,11.98,774.63,9280.48780487805
720.0,57.6,-16.4,11.98,774.82,9279.268292682927
730.0,62.1,-14.4,11.98,775.12,9289.024390243903
740.0,69.0,-12.7,11.98,775.73,9291.463414634147
750.0,73.4,-11.2,11.98,776.04,9297.560975609755
760.0,79.2,-9.9,11.98,776.46,9303.658536585364
770.0,82.4,-8.7,11.98,776.83,9304.878048780487
780.0,84.9,-7.6,11.98,772.32,9253.658536585366
790.0,45.3,-12.8,11.97,770.61,9226.829268292682
800.0,46.6,-17.0,11.96,772.62,9241.463414634147
810.0,56.2,-16.9,11.95,773.41,9245.121951219511
820.0,60.5,-14.8,11.95,773.23,9247.560975609756
830.0,68.3,-13.0,11.95,773.96,9251.219512195123
840.0,72.3,-11.5,11.95,774.51,9254.878048780487
850.0,77.7,-10.2,11.95,774.82,9257.317073170732
860.0,82.1,-9.0,11.95,775.43,9263.414634146342
870.0,84.5,-7.8,11.95,771.22,9219.51219512195
880.0,45.6,-11.4,11.94,769.21,9192.68292682927
890.0,46.0,-16.3,11.93,771.16,9197.560975609756
900.0,54.1,-17.5,11.92,771.65,9201.219512195123
910.0,59.0,-15.3,11.92,771.65,9204.878048780489
920.0,66.4,-13.5,11.92,772.13,9203.658536585366
930.0,71.4,-11.9,11.92,772.44,9203.658536585366
940.0,76.0,-10.6,11.92,772.26,9207.317073170732
950.0,81.1,-9.3,11.92,772.93,9209.756097560974
960.0,84.2,-8.2,11.92,769.45,9176.829268292684
970.0,47.5,-9.7,11.92,767.87,9147.560975609756
980.0,45.1,-15.4,11.9,768.84,9151.21951219512
990.0,50.5,-18.1,11.9,768.41,9148.780487804877
1000.0,58.2,-15.9,11.89,769.02,9148.780487804877
1010.0,64.5,-14.0,11.89,769.63,9148.780487804877
1020.0,70.1,-12.3,11.89,769.94,9160.975609756097
1030.0,74.6,-10.9,11.89,770.85,9164.634146341463
1040.0,80.4,-9.7,11.89,771.04,9170.731707317073
1050.0,83.3,-8.5,11.89,769.51,9153.658536585366
1060.0,52.5,-9.8,11.88,766.95,9115.853658536585
1070.0,48.3,-15.0,11.88,765.24,9087.80487804878
1080.0,48.6,-17.9,11.86,763.72,9063.41463414634
1090.0,49.3,-19.7,11.85,762.87,9037.80487804878
1100.0,52.6,-20.6,11.84,764.21,9048.780487804877
1110.0,55.9,-20.4,11.83,762.44,9025.609756097561
1120.0,63.4,-17.9,11.82,761.34,9004.878048780487
1130.0,54.7,-19.4,11.81,760.37,8979.268292682926
1140.0,51.8,-20.7,11.8,759.51,8965.853658536585
1150.0,53.6,-21.2,11.8,761.83,8985.365853658537
1160.0,59.9,-20.0,11.79,762.32,8987.80487804878
1170.0,67.1,-18.0,11.79,760.06,8957.317073170732
1180.0,56.3,-16.9,11.78,758.05,8943.90243902439
1190.0,50.6,-19.4,11.78,757.13,8917.073170731708
1200.0,50.1,-20.9,11.77,759.94,8945.121951219513
1210.0,59.9,-19.5,11.76,760.85,8947.560975609756
1220.0,64.4,-17.6,11.76,760.73,8950.0
1230.0,66.8,-15.9,11.77,761.04,8957.317073170732
1240.0,70.0,-14.3,11.77,761.52,8960.975609756097
1250.0,74.0,-12.9,11.77,757.74,8926.829268292684
1260.0,48.7,-14.6,11.77,757.44,8913.414634146342
1270.0,55.4,-18.9,11.76,759.21,8925.609756097561
1280.0,55.3,-18.9,11.75,759.21,8929.268292682927
1290.0,62.9,-16.9,11.76,757.44,8900.0
1300.0,58.6,-15.8,11.78,772.32,9101.219512195123
