Time,Humidity,Temperature,Voltage,Current,Power
10.0,33.6,26.6,12.76,13.11,163.41463414634146
20.0,33.5,26.6,12.79,0.0,0.0
30.0,32.5,26.5,12.78,0.0,0.0
40.0,33.4,26.3,12.78,0.0,0.0
50.0,34.2,26.6,12.77,0.0,0.0
60.0,38.1,28.8,12.77,0.0,0.0
70.0,43.5,30.9,12.76,0.0,0.0
80.0,49.7,32.1,12.76,0.0,0.0
90.0,56.0,32.8,12.76,0.0,0.0
100.0,61.5,33.3,12.75,0.0,0.0
110.0,65.2,33.6,12.75,0.0,0.0
120.0,67.4,33.9,12.74,0.0,0.0
130.0,68.5,34.1,12.74,0.0,0.0
140.0,69.2,34.4,12.74,0.0,0.0
150.0,69.4,34.5,12.73,0.0,0.0
160.0,69.6,34.6,12.73,0.0,0.0
170.0,69.5,34.8,12.72,0.0,0.0
180.0,69.4,34.7,12.72,0.0,0.0
190.0,69.5,34.9,12.71,0.0,0.0
200.0,69.3,34.9,12.7,0.0,0.0
210.0,69.2,35.0,12.7,0.0,0.0
220.0,69.0,35.0,12.7,0.0,0.0
230.0,69.0,35.1,12.69,0.0,0.0
240.0,68.9,35.2,12.68,0.0,0.0
250.0,68.9,35.3,12.68,0.0,0.0
260.0,68.7,35.3,12.67,0.0,0.0
270.0,68.6,35.4,12.66,0.0,0.0
280.0,68.5,35.4,12.66,0.0,0.0
290.0,68.3,35.5,12.65,0.0,0.0
300.0,68.2,35.5,12.65,0.0,0.0
310.0,68.1,35.5,12.65,0.0,0.0
320.0,68.0,35.5,12.64,0.0,0.0
330.0,68.1,35.6,12.64,0.0,0.0
340.0,68.0,35.6,12.62,0.0,0.0
350.0,67.9,35.7,12.62,0.0,0.0
360.0,67.9,35.7,12.62,0.0,0.0
370.0,67.7,35.7,12.61,0.0,0.0
380.0,67.6,35.7,12.6,0.0,0.0
390.0,67.6,35.7,12.6,0.0,0.0
400.0,67.5,35.7,12.59,0.0,0.0
410.0,67.5,35.8,12.6,0.0,0.0
420.0,67.5,35.8,12.59,0.0,0.0
430.0,67.4,35.8,12.58,0.0,0.0
440.0,67.4,35.8,12.58,0.0,0.0
450.0,67.3,35.8,12.58,0.0,0.0
460.0,67.2,35.8,12.57,0.0,0.0
470.0,67.2,35.8,12.56,0.0,0.0
480.0,67.2,35.8,12.56,0.0,0.0
490.0,67.2,35.8,12.56,0.0,0.0
500.0,67.1,35.8,12.55,0.0,0.0
510.0,67.1,35.8,12.54,0.0,0.0
520.0,67.1,35.8,12.54,0.0,0.0
530.0,67.2,35.8,12.53,0.0,0.0
540.0,67.2,35.8,12.53,0.0,0.0
550.0,67.2,35.8,12.53,0.0,0.0
560.0,67.3,35.9,12.52,0.0,0.0
570.0,67.3,35.9,12.51,0.0,0.0
580.0,67.2,35.9,12.52,0.0,0.0
590.0,67.2,35.9,12.51,0.0,0.0
600.0,67.2,35.9,12.5,0.0,0.0
610.0,67.2,36.0,12.5,0.0,0.0
620.0,67.0,35.9,12.49,0.0,0.0
630.0,67.2,35.9,12.49,0.0,0.0
640.0,67.2,35.8,12.48,0.0,0.0
650.0,67.2,35.8,12.48,0.0,0.0
660.0,67.3,35.8,12.48,0.0,0.0
670.0,67.4,35.9,12.47,0.0,0.0
680.0,67.5,35.9,12.47,0.0,0.0
690.0,67.4,35.9,12.46,0.0,0.0
700.0,67.4,35.9,12.45,0.0,0.0
710.0,67.3,35.9,12.46,0.0,0.0
720.0,67.2,35.8,12.45,0.0,0.0
730.0,67.2,35.8,12.44,0.0,0.0
740.0,67.1,35.8,12.44,0.0,0.0
750.0,67.1,35.8,12.44,0.0,0.0
760.0,67.3,35.8,12.43,0.0,0.0
770.0,67.2,35.8,12.42,0.0,0.0
780.0,67.3,35.8,12.42,0.0,0.0
790.0,67.2,35.8,12.42,0.0,0.0
800.0,67.2,35.8,12.41,0.0,0.0
810.0,67.1,35.8,12.41,0.0,0.0
820.0,67.0,35.8,12.4,0.0,0.0
830.0,66.8,35.7,12.4,0.0,0.0
840.0,66.7,35.7,12.39,0.0,0.0
850.0,66.8,35.7,12.39,0.0,0.0
860.0,66.8,35.6,12.39,0.0,0.0
870.0,66.7,35.6,12.38,0.0,0.0
880.0,66.7,35.6,12.38,0.0,0.0
890.0,66.7,35.6,12.37,0.0,0.0
900.0,66.7,35.6,12.37,0.0,0.0
910.0,66.7,35.6,12.36,0.0,0.0
920.0,66.5,35.5,12.36,0.0,0.0
930.0,66.5,35.5,12.36,0.0,0.0
940.0,66.5,35.5,12.35,0.0,0.0
950.0,66.5,35.5,12.35,0.0,0.0
960.0,66.6,35.5,12.34,0.0,0.0
970.0,66.6,35.5,12.34,0.0,0.0
980.0,66.6,35.5,12.34,0.0,0.0
990.0,66.5,35.5,12.33,0.0,0.0
1000.0,66.4,35.5,12.33,0.0,0.0
1010.0,66.3,35.4,12.32,0.0,0.0
1020.0,66.2,35.4,12.32,0.0,0.0
1030.0,66.0,35.4,12.32,0.0,0.0
1040.0,65.7,35.3,12.31,0.0,0.0
1050.0,65.7,35.3,12.3,0.0,0.0
1060.0,65.6,35.3,12.3,0.0,0.0
1070.0,65.4,35.3,12.3,0.0,0.0
1080.0,65.5,35.4,12.29,0.0,0.0
1090.0,65.3,35.4,12.28,0.0,0.0
1100.0,65.0,35.5,12.28,0.0,0.0
1110.0,64.5,35.4,12.28,0.0,0.0
1120.0,64.3,35.5,12.27,0.0,0.0
1130.0,64.1,35.5,12.27,0.0,0.0
1140.0,63.7,35.5,12.26,0.0,0.0
1150.0,63.4,35.5,12.26,0.0,0.0
1160.0,63.1,35.4,12.26,0.0,0.0
1170.0,63.1,35.4,12.26,0.0,0.0
1180.0,63.1,35.5,12.25,0.0,0.0
1190.0,62.9,35.5,12.24,0.0,0.0
1200.0,62.8,35.5,12.24,0.0,0.0
1210.0,62.4,35.5,12.24,0.0,0.0
1220.0,62.2,35.5,12.23,0.0,0.0
1230.0,61.9,35.5,12.23,0.0,0.0
1240.0,61.4,35.4,12.22,0.0,0.0
1250.0,60.9,35.4,12.22,0.0,0.0
1260.0,60.5,35.4,12.21,0.0,0.0
1270.0,60.1,35.5,12.21,0.0,0.0
1280.0,58.4,35.4,12.2,0.0,0.0
1290.0,58.4,35.4,12.2,0.0,0.0
1300.0,57.2,35.4,12.2,0.0,0.0
1310.0,55.8,35.4,12.19,0.0,0.0
1320.0,54.0,35.3,12.18,0.0,0.0
1330.0,52.4,35.3,12.18,0.0,0.0
1340.0,50.5,35.3,12.18,0.0,0.0
1350.0,48.4,35.3,12.17,0.0,0.0
1360.0,46.6,35.3,12.17,0.0,0.0
1370.0,44.9,35.3,12.16,0.0,0.0
1380.0,42.9,35.3,12.16,0.0,0.0
1390.0,40.8,35.3,12.15,0.0,0.0
1400.0,38.7,35.3,12.15,0.0,0.0
