Time,Humidity,Temperature,Voltage,Current,Power
10.0,44.1,25.6,12.78,1327.8,16979.26829268293
20.0,34.7,25.0,12.77,1303.23,16646.341463414632
30.0,16.9,24.1,12.76,1266.83,16162.195121951221
40.0,16.9,24.1,12.74,1259.02,16036.585365853658
50.0,13.9,21.5,12.72,1246.71,15857.317073170732
60.0,12.2,15.1,12.71,1158.78,14753.658536585366
70.0,11.7,12.1,12.69,1183.48,15023.170731707318
80.0,11.6,12.0,12.67,1194.02,15135.365853658535
90.0,14.0,9.7,12.66,1171.95,14831.707317073171
100.0,17.3,7.9,12.65,1068.78,13523.170731707318
110.0,21.0,6.6,12.64,1063.17,13432.926829268294
120.0,24.6,5.8,12.62,1052.5,13287.80487804878
130.0,27.4,5.4,12.61,1068.29,13473.170731707316
140.0,22.5,5.0,12.6,1047.87,13201.219512195123
150.0,19.1,4.5,12.58,1044.39,13143.90243902439
160.0,16.5,2.6,12.57,1035.85,13025.609756097561
170.0,18.8,1.6,12.56,1009.39,12671.951219512195
180.0,18.8,1.6,12.54,1046.16,13125.609756097561
190.0,23.1,0.9,12.53,1008.35,12637.80487804878
200.0,26.8,0.6,12.52,959.02,12010.975609756098
210.0,29.6,0.3,12.51,996.4,12471.951219512195
220.0,23.2,0.2,12.5,966.89,12086.585365853658
230.0,19.6,-0.1,12.49,965.61,12068.292682926829
240.0,17.9,-0.8,12.48,957.68,11956.097560975611
250.0,20.2,-1.7,12.47,946.28,11801.21951219512
260.0,23.8,-2.2,12.45,1007.99,12553.658536585364
270.0,27.1,-2.4,12.44,954.88,11880.487804878048
280.0,33.8,-2.2,12.44,940.0,11698.78048780488
290.0,33.8,-2.2,12.43,932.32,11586.585365853658
300.0,37.2,-2.0,12.42,936.89,11642.682926829268
310.0,39.9,-1.6,12.42,903.23,11219.51219512195
320.0,27.1,-1.6,12.38,1120.37,13879.268292682926
330.0,22.1,-1.8,12.39,1032.5,12791.463414634147
340.0,19.7,-2.4,12.38,1038.78,12862.19512195122
350.0,21.8,-3.1,12.37,1013.9,12543.902439024389
360.0,25.3,-3.6,12.36,1025.49,12675.609756097561
370.0,28.9,-3.9,12.36,1009.7,12474.390243902439
380.0,32.4,-3.9,12.34,1018.6,12575.609756097561
390.0,36.2,-3.8,12.34,1009.21,12446.341463414636
400.0,39.5,-3.6,12.33,1032.26,12728.048780487805
410.0,42.7,-3.4,12.32,1022.8,12606.09756097561
420.0,32.9,-3.1,12.32,1028.96,12679.268292682927
430.0,25.3,-3.2,12.31,1019.57,12553.658536585364
440.0,21.9,-3.6,12.31,1000.3,12320.731707317073
450.0,26.3,-4.8,12.3,1010.3,12418.292682926829
460.0,26.3,-4.8,12.29,995.3,12231.707317073171
470.0,29.9,-5.1,12.29,999.51,12274.390243902439
480.0,33.7,-5.2,12.28,962.32,11820.731707317073
490.0,37.7,-5.1,12.28,961.89,11810.975609756097
500.0,41.3,-4.9,12.27,967.01,11870.731707317074
510.0,44.5,-4.6,12.26,987.07,12093.90243902439
520.0,41.7,-4.3,12.26,982.8,12048.780487804877
530.0,28.5,-4.2,12.26,948.78,11632.926829268292
540.0,23.8,-4.5,12.25,973.72,11928.048780487805
550.0,23.7,-5.0,12.24,965.49,11823.170731707316
560.0,27.1,-5.5,12.24,944.57,11564.634146341463
570.0,35.1,-5.9,12.24,912.62,11165.853658536585
580.0,35.1,-5.9,12.22,931.1,11380.487804878048
590.0,39.0,-5.8,12.22,911.71,11147.560975609756
600.0,42.7,-5.7,12.22,912.93,11151.21951219512
610.0,45.5,-5.4,12.22,882.93,10785.365853658537
620.0,47.1,-5.1,12.2,997.99,12180.487804878048
630.0,31.4,-5.0,12.18,1080.18,13165.853658536585
640.0,25.3,-5.1,12.17,1122.68,13670.731707317073
650.0,24.2,-5.5,12.17,1128.17,13729.268292682926
660.0,27.4,-6.0,12.16,1134.63,13801.21951219512
670.0,31.4,-6.3,12.15,1142.13,13886.585365853658
680.0,35.5,-6.4,12.14,1145.98,13924.390243902439
690.0,39.5,-6.4,12.14,1142.93,13882.926829268292
700.0,42.9,-6.2,12.14,1139.94,13834.146341463415
710.0,45.9,-6.0,12.13,1142.07,13856.09756097561
720.0,48.4,-5.7,12.12,1142.74,13867.073170731708
730.0,34.7,-5.5,12.12,1140.98,13830.487804878048
740.0,26.8,-5.5,12.12,1138.35,13790.243902439026
750.0,24.0,-5.9,12.11,1137.68,13776.829268292684
760.0,31.4,-6.6,12.1,1133.78,13723.170731707316
770.0,31.4,-6.6,12.1,1132.93,13698.78048780488
780.0,35.6,-6.8,12.09,1130.55,13663.414634146342
790.0,39.4,-6.8,12.08,1127.07,13619.512195121952
800.0,45.8,-6.4,12.08,1134.33,13707.317073170732
810.0,45.8,-6.4,12.07,1142.68,13802.439024390244
820.0,48.3,-6.1,12.07,1138.54,13736.585365853658
830.0,39.4,-5.8,12.06,1138.23,13726.829268292682
840.0,28.8,-5.8,12.06,1136.28,13701.219512195123
850.0,24.5,-6.0,12.05,1137.13,13701.219512195123
860.0,27.3,-6.5,12.04,1137.68,13704.878048780489
870.0,31.3,-6.8,12.04,1136.59,13686.58536585366
880.0,35.7,-7.0,12.03,1136.95,13682.926829268294
890.0,39.6,-7.0,12.02,1136.65,13663.414634146342
900.0,45.9,-6.7,12.02,1137.26,13664.634146341463
910.0,46.0,-6.7,12.01,1136.04,13652.439024390244
920.0,48.4,-6.4,12.01,1136.28,13639.024390243902
930.0,40.1,-6.1,12.0,1134.76,13620.731707317074
940.0,29.2,-6.0,12.0,1134.88,13607.317073170732
950.0,27.4,-6.7,11.99,1133.96,13598.78048780488
960.0,27.4,-6.7,11.98,1142.07,13686.58536585366
970.0,31.4,-7.1,11.97,1141.83,13664.634146341463
980.0,35.6,-7.3,11.96,1133.54,13569.512195121952
990.0,39.4,-7.3,11.96,1130.49,13520.731707317074
1000.0,43.0,-7.1,11.96,1129.88,13507.317073170732
1010.0,42.4,-7.0,11.94,1128.35,13476.829268292682
1020.0,30.5,-6.9,11.94,1126.65,13454.878048780489
1030.0,25.6,-7.1,11.93,1124.27,13423.170731707318
1040.0,32.0,-7.7,11.93,1124.15,13404.878048780487
1050.0,32.0,-7.7,11.92,1124.76,13404.878048780487
1060.0,36.8,-7.9,11.92,1123.05,13375.609756097561
1070.0,33.6,-7.9,11.91,1118.96,13329.268292682927
1080.0,28.0,-8.1,11.9,1116.65,13291.463414634147
1090.0,26.3,-8.5,11.9,1116.77,13281.707317073171
1100.0,27.1,-8.9,11.88,1119.88,13314.634146341463
1110.0,31.6,-9.2,11.88,1120.18,13301.21951219512
1120.0,29.5,-9.4,11.87,1120.49,13304.878048780487
1130.0,26.6,-9.7,11.86,1120.55,13297.560975609755
1140.0,27.3,-9.9,11.86,1119.39,13279.268292682927
1150.0,30.9,-10.2,11.85,1118.78,13265.853658536585
1160.0,35.7,-10.2,11.85,1117.44,13239.024390243902
1170.0,33.6,-10.1,11.84,1117.13,13226.829268292682
1180.0,28.6,-10.2,11.84,1116.77,13213.41463414634
