Time,Humidity,Temperature,Voltage,Current,Power
10.0,42.3,25.0,12.88,12.5,157.3170731707317
20.0,42.3,25.0,12.87,12.32,157.3170731707317
30.0,40.5,14.9,12.86,11.89,153.65853658536585
40.0,59.3,-1.3,12.83,11.71,152.4390243902439
50.0,66.1,-7.7,12.81,12.07,150.0
60.0,65.1,-10.9,12.78,11.71,152.4390243902439
70.0,64.0,-13.0,12.76,11.89,147.5609756097561
80.0,63.1,-14.5,12.74,11.71,150.0
90.0,71.0,-13.7,12.72,11.52,152.4390243902439
100.0,71.3,-11.3,12.7,11.28,143.90243902439022
110.0,67.9,-9.2,12.68,11.71,147.5609756097561
120.0,63.7,-7.4,12.68,11.52,146.34146341463415
130.0,58.1,-6.0,12.66,11.59,146.34146341463415
140.0,54.9,-9.3,12.64,11.4,146.34146341463415
150.0,57.5,-12.4,12.63,11.71,146.34146341463415
160.0,57.0,-14.3,12.6,11.59,146.34146341463415
170.0,58.3,-15.7,12.59,11.71,143.90243902439022
180.0,58.4,-14.1,12.58,11.4,141.46341463414632
190.0,55.7,-12.1,12.56,11.4,141.46341463414632
200.0,53.3,-10.2,12.56,11.52,146.34146341463415
210.0,50.1,-9.2,12.54,11.1,141.46341463414632
220.0,50.1,-12.6,12.53,11.1,141.46341463414632
230.0,52.4,-15.4,12.52,11.22,141.46341463414632
240.0,54.4,-16.9,12.5,11.52,137.8048780487805
250.0,54.4,-15.5,12.49,11.1,141.46341463414632
260.0,52.2,-13.5,12.48,11.22,143.90243902439022
270.0,50.5,-11.8,12.47,11.28,137.8048780487805
280.0,48.9,-10.3,12.47,11.22,140.2439024390244
290.0,47.6,-8.9,12.46,11.52,143.90243902439022
300.0,46.5,-7.6,12.46,11.22,140.2439024390244
310.0,44.7,-7.3,12.45,11.28,140.2439024390244
320.0,49.7,-15.0,12.44,11.22,137.8048780487805
330.0,49.6,-15.2,12.44,11.22,140.2439024390244
340.0,51.7,-17.0,12.42,10.98,141.46341463414632
350.0,52.5,-15.8,12.42,11.28,137.8048780487805
360.0,50.5,-14.0,12.41,11.4,141.46341463414632
370.0,48.8,-12.3,12.4,11.28,141.46341463414632
380.0,46.2,-9.5,12.4,11.28,137.8048780487805
390.0,46.1,-9.6,12.4,11.22,135.3658536585366
400.0,45.2,-8.4,12.39,10.98,141.46341463414632
410.0,45.0,-7.3,12.39,11.22,140.2439024390244
420.0,44.9,-10.4,12.39,11.28,140.2439024390244
430.0,48.3,-14.3,12.38,11.1,135.3658536585366
440.0,50.0,-16.8,12.37,10.91,135.3658536585366
450.0,52.0,-16.2,12.36,11.1,137.8048780487805
460.0,50.2,-14.5,12.35,11.28,134.14634146341464
470.0,48.4,-12.8,12.35,11.1,137.8048780487805
480.0,46.9,-11.4,12.35,11.22,137.8048780487805
490.0,45.7,-10.1,12.34,11.4,137.8048780487805
500.0,44.9,-8.9,12.34,11.22,137.8048780487805
510.0,44.2,-7.8,12.34,11.28,137.8048780487805
520.0,43.4,-9.1,12.34,10.67,137.8048780487805
530.0,47.1,-13.4,12.33,11.1,140.2439024390244
540.0,49.3,-16.3,12.32,11.1,135.3658536585366
550.0,52.0,-16.4,12.31,10.98,137.8048780487805
560.0,50.4,-14.8,12.31,11.22,135.3658536585366
570.0,48.4,-13.1,12.3,11.1,135.3658536585366
580.0,47.0,-11.7,12.3,11.1,137.8048780487805
590.0,45.8,-10.4,12.3,11.4,140.2439024390244
600.0,44.9,-9.2,12.3,11.22,140.2439024390244
610.0,44.3,-8.1,12.29,11.4,137.8048780487805
620.0,43.1,-8.4,12.29,11.28,135.3658536585366
630.0,46.4,-12.7,12.28,11.28,137.8048780487805
640.0,48.9,-15.9,12.28,11.1,134.14634146341464
650.0,51.9,-16.7,12.27,10.91,135.3658536585366
660.0,50.8,-15.1,12.26,10.98,140.2439024390244
670.0,48.7,-13.5,12.26,11.22,134.14634146341464
680.0,47.2,-12.0,12.25,11.1,135.3658536585366
690.0,46.0,-10.7,12.25,11.28,135.3658536585366
700.0,45.1,-9.5,12.24,11.22,137.8048780487805
710.0,44.5,-8.4,12.24,11.1,135.3658536585366
720.0,43.7,-7.9,12.24,10.91,134.14634146341464
730.0,45.6,-12.0,12.24,10.98,134.14634146341464
740.0,48.6,-15.5,12.22,11.1,129.26829268292684
750.0,51.8,-16.9,12.22,11.4,134.14634146341464
760.0,51.2,-15.4,12.21,10.98,134.14634146341464
770.0,49.1,-13.8,12.21,11.1,134.14634146341464
780.0,47.5,-12.3,12.2,11.1,135.3658536585366
790.0,46.2,-11.0,12.2,11.28,135.3658536585366
800.0,45.3,-9.7,12.2,10.98,137.8048780487805
810.0,44.7,-8.6,12.19,11.28,134.14634146341464
820.0,45.1,-7.6,12.19,10.98,135.3658536585366
830.0,44.7,-10.9,12.18,11.28,134.14634146341464
840.0,48.3,-14.8,12.18,10.91,135.3658536585366
850.0,51.5,-16.8,12.17,10.91,131.70731707317074
860.0,51.7,-15.6,12.16,11.1,135.3658536585366
870.0,49.6,-13.9,12.15,11.1,131.70731707317074
880.0,47.9,-12.4,12.14,10.79,135.3658536585366
890.0,46.6,-11.1,12.14,10.91,131.70731707317074
900.0,45.6,-9.9,12.14,11.1,134.14634146341464
910.0,44.9,-8.8,12.14,10.91,134.14634146341464
920.0,45.2,-7.8,12.13,10.98,134.14634146341464
930.0,45.0,-10.9,12.12,10.67,131.70731707317074
940.0,48.5,-14.8,12.11,10.91,131.70731707317074
950.0,51.5,-16.9,12.1,10.79,131.70731707317074
960.0,52.0,-15.8,12.1,11.1,131.70731707317074
970.0,49.9,-14.1,12.09,11.1,131.70731707317074
980.0,48.2,-12.6,12.08,10.91,131.70731707317074
990.0,46.8,-11.3,12.08,10.91,131.70731707317074
1000.0,45.8,-10.1,12.07,10.91,131.70731707317074
1010.0,44.8,-10.9,12.06,10.79,134.14634146341464
1020.0,47.9,-14.6,12.05,10.98,131.70731707317074
1030.0,50.8,-17.1,12.04,10.79,129.26829268292684
