Time,Humidity,Temperature,Voltage,Current,Power
10.0,39.8,25.6,12.6,12.01,152.4390243902439
20.0,39.3,25.5,12.6,12.07,153.65853658536585
30.0,24.4,16.6,12.59,12.01,150.0
40.0,17.8,8.2,12.58,12.01,147.5609756097561
50.0,19.8,2.1,12.56,11.71,147.5609756097561
60.0,20.7,-2.3,12.54,11.89,146.34146341463415
70.0,26.2,-3.7,12.52,11.71,147.5609756097561
80.0,30.0,-2.4,12.51,11.59,146.34146341463415
90.0,34.5,-1.0,12.5,11.71,147.5609756097561
100.0,38.3,0.0,12.48,11.71,146.34146341463415
110.0,24.4,-3.3,12.47,11.52,143.90243902439022
120.0,24.3,-3.4,12.46,11.52,143.90243902439022
130.0,31.8,-6.8,12.44,11.59,143.90243902439022
140.0,31.8,-6.9,12.43,11.59,143.90243902439022
150.0,36.4,-5.4,12.42,11.59,143.90243902439022
160.0,41.3,-4.3,12.41,11.28,141.46341463414632
170.0,35.5,-3.4,12.4,11.52,141.46341463414632
180.0,28.2,-5.7,12.39,11.52,141.46341463414632
190.0,27.4,-8.4,12.37,11.4,141.46341463414632
200.0,32.8,-9.9,12.36,11.28,141.46341463414632
210.0,38.0,-8.8,12.35,11.4,140.2439024390244
220.0,42.4,-7.6,12.34,11.4,140.2439024390244
230.0,46.8,-6.4,12.33,11.4,140.2439024390244
240.0,54.5,-4.6,12.33,11.4,140.2439024390244
250.0,54.5,-4.6,12.32,11.52,137.8048780487805
260.0,32.9,-5.4,12.32,11.4,137.8048780487805
270.0,29.4,-8.4,12.31,11.22,137.8048780487805
280.0,35.9,-10.2,12.3,11.4,140.2439024390244
290.0,41.6,-9.3,12.29,11.22,137.8048780487805
300.0,46.6,-8.3,12.29,11.28,137.8048780487805
310.0,51.4,-7.3,12.28,11.28,137.8048780487805
320.0,57.2,-5.6,12.27,11.4,141.46341463414632
330.0,57.2,-5.7,12.27,11.4,137.8048780487805
340.0,37.5,-6.0,12.26,11.22,137.8048780487805
350.0,32.1,-8.7,12.26,11.1,134.14634146341464
360.0,31.4,-11.2,12.25,10.98,137.8048780487805
370.0,38.5,-12.4,12.24,11.22,137.8048780487805
380.0,43.8,-11.4,12.24,11.1,137.8048780487805
390.0,48.4,-10.3,12.23,11.28,134.14634146341464
400.0,52.8,-9.3,12.22,11.28,141.46341463414632
410.0,55.3,-8.3,12.22,11.28,137.8048780487805
420.0,54.4,-6.7,12.22,11.28,137.8048780487805
430.0,54.3,-6.8,12.22,10.98,137.8048780487805
440.0,44.1,-6.2,12.21,11.22,140.2439024390244
450.0,33.7,-11.0,12.21,10.98,140.2439024390244
460.0,43.2,-11.2,12.2,11.22,137.8048780487805
470.0,43.2,-11.3,12.2,11.28,137.8048780487805
480.0,48.6,-10.3,12.19,11.4,137.8048780487805
490.0,53.5,-9.4,12.18,11.1,135.3658536585366
500.0,52.9,-8.5,12.18,11.28,140.2439024390244
510.0,52.9,-7.8,12.18,11.22,137.8048780487805
520.0,54.5,-7.1,12.18,11.28,140.2439024390244
530.0,46.8,-6.5,12.18,11.1,140.2439024390244
540.0,37.1,-8.2,12.18,11.22,135.3658536585366
550.0,34.8,-10.6,12.17,11.1,135.3658536585366
560.0,49.8,-10.4,12.16,11.1,135.3658536585366
570.0,49.8,-10.4,12.16,11.1,135.3658536585366
580.0,54.0,-9.4,12.16,11.4,137.8048780487805
590.0,53.6,-8.6,12.16,10.98,137.8048780487805
600.0,53.5,-7.9,12.15,11.28,137.8048780487805
610.0,55.4,-7.2,12.15,11.22,137.8048780487805
620.0,47.9,-6.6,12.15,11.22,134.14634146341464
630.0,35.1,-8.3,12.14,11.28,137.8048780487805
640.0,33.3,-10.9,12.14,11.22,137.8048780487805
650.0,43.4,-11.5,12.13,11.22,135.3658536585366
660.0,49.0,-10.7,12.13,11.1,135.3658536585366
670.0,53.6,-9.8,12.12,11.4,135.3658536585366
680.0,52.9,-8.9,12.12,11.1,135.3658536585366
690.0,53.3,-8.2,12.12,10.98,135.3658536585366
700.0,55.1,-7.5,12.12,11.4,135.3658536585366
710.0,58.5,-6.9,12.12,11.1,135.3658536585366
720.0,37.1,-7.7,12.12,10.91,134.14634146341464
730.0,33.5,-10.4,12.11,10.98,134.14634146341464
740.0,41.8,-11.7,12.1,11.22,135.3658536585366
750.0,47.9,-11.0,12.1,11.1,135.3658536585366
760.0,52.3,-9.3,12.09,11.28,134.14634146341464
770.0,53.0,-8.5,12.09,10.98,135.3658536585366
780.0,54.8,-7.8,12.09,11.22,135.3658536585366
790.0,54.8,-7.8,12.09,10.98,135.3658536585366
800.0,39.6,-7.4,12.09,11.1,134.14634146341464
810.0,39.6,-7.4,12.08,11.22,134.14634146341464
820.0,34.0,-9.9,12.08,10.91,135.3658536585366
830.0,40.2,-11.8,12.07,10.91,135.3658536585366
840.0,52.2,-10.4,12.06,10.98,131.70731707317074
850.0,52.3,-10.4,12.06,11.22,140.2439024390244
860.0,52.2,-9.4,12.06,11.1,135.3658536585366
870.0,52.8,-8.7,12.06,11.4,135.3658536585366
880.0,54.3,-8.0,12.06,11.1,131.70731707317074
890.0,56.4,-7.4,12.06,11.22,134.14634146341464
900.0,43.1,-7.1,12.05,10.98,131.70731707317074
910.0,34.4,-9.3,12.05,10.91,131.70731707317074
920.0,37.5,-11.7,12.04,10.79,131.70731707317074
930.0,45.1,-11.5,12.04,10.98,134.14634146341464
940.0,50.9,-10.6,12.03,10.98,135.3658536585366
950.0,52.2,-9.8,12.03,10.91,135.3658536585366
960.0,52.5,-9.0,12.02,11.1,131.70731707317074
970.0,53.9,-8.3,12.02,11.22,131.70731707317074
980.0,55.9,-7.6,12.02,11.1,134.14634146341464
990.0,46.0,-7.3,12.02,10.98,134.14634146341464
1000.0,37.5,-9.2,12.02,10.98,131.70731707317074
1010.0,34.8,-11.6,12.01,10.79,134.14634146341464
1020.0,34.8,-13.5,12.0,10.98,131.70731707317074
1030.0,37.0,-14.7,11.99,10.91,131.70731707317074
1040.0,42.2,-15.1,11.98,10.91,129.26829268292684
1050.0,46.3,-14.1,11.97,10.98,134.14634146341464
1060.0,41.9,-14.5,11.97,10.91,129.26829268292684
1070.0,38.7,-15.4,11.96,10.91,129.26829268292684
1080.0,39.7,-16.2,11.95,10.91,129.26829268292684
1090.0,47.1,-15.8,11.94,10.91,125.60975609756098
1100.0,51.3,-14.7,11.94,10.67,129.26829268292684
1110.0,40.3,-14.8,11.94,10.91,131.70731707317074
1120.0,40.4,-14.8,11.93,10.79,128.0487804878049
1130.0,39.7,-15.9,11.92,10.98,125.60975609756098
1140.0,47.6,-15.7,11.92,11.1,129.26829268292684
1150.0,51.1,-14.6,11.91,10.79,128.0487804878049
1160.0,50.7,-13.6,11.91,10.91,128.0487804878049
1170.0,51.6,-12.7,11.91,10.98,131.70731707317074
1180.0,54.6,-11.9,11.9,10.98,129.26829268292684
1190.0,43.9,-11.7,11.9,10.91,129.26829268292684
1200.0,38.3,-13.2,11.9,10.79,129.26829268292684
1210.0,44.1,-14.5,11.9,10.91,128.0487804878049
1220.0,51.3,-13.9,11.89,10.79,129.26829268292684
1230.0,48.8,-13.2,11.89,11.4,134.14634146341464
