Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,37.4,24.0,12.68,13.48,171.95,0,0
20.0,37.3,23.9,12.69,13.72,175.61,0,0
30.0,39.6,26.2,12.69,13.72,175.61,0,0
40.0,41.0,29.1,12.7,13.6,178.05,0,0
50.0,44.4,31.1,12.7,13.72,175.61,0,0
60.0,50.1,33.3,12.7,13.9,175.61,0,0
70.0,51.2,33.9,12.7,13.78,175.61,0,0
80.0,51.2,33.9,12.7,13.78,175.61,0,0
90.0,51.9,34.4,12.7,13.9,171.95,0,0
100.0,52.2,34.8,12.7,14.02,174.39,0,0
110.0,52.5,35.2,12.7,13.78,171.95,1,0
120.0,52.6,35.6,12.6,13.72,171.95,1,0
130.0,58.0,34.6,12.59,13.48,169.51,0,0
140.0,59.9,33.9,12.67,13.78,171.95,0,0
150.0,58.4,34.8,12.67,14.02,171.95,0,0
160.0,56.1,35.5,12.66,13.6,178.05,1,0
170.0,53.5,35.8,12.57,13.6,171.95,1,0
180.0,57.9,33.3,12.56,13.6,169.51,0,0
190.0,55.8,34.5,12.63,13.78,171.95,0,0
200.0,55.7,34.4,12.63,14.02,174.39,0,0
210.0,53.7,35.2,12.62,13.78,174.39,1,0
220.0,52.2,35.6,12.54,13.78,169.51,1,0
230.0,55.1,34.0,12.53,13.48,171.95,0,0
240.0,56.9,33.2,12.6,13.78,171.95,0,0
250.0,54.7,34.5,12.6,13.6,174.39,0,0
260.0,52.5,35.2,12.59,14.02,171.95,1,0
270.0,51.1,35.6,12.5,13.6,168.29,1,0
280.0,54.3,33.8,12.5,13.6,168.29,0,0
290.0,56.0,33.0,12.56,14.02,169.51,0,0
300.0,53.9,34.3,12.55,13.6,171.95,0,0
310.0,51.9,35.1,12.54,13.6,169.51,1,0
320.0,50.6,35.5,12.47,13.17,168.29,1,0
330.0,53.8,33.6,12.45,13.48,169.51,0,0
340.0,55.6,32.8,12.52,13.78,171.95,0,0
350.0,53.5,34.2,12.52,14.02,171.95,0,0
360.0,51.5,34.9,12.51,13.41,171.95,0,0
370.0,50.3,35.3,12.51,13.6,169.51,1,0
380.0,49.4,35.6,12.42,13.41,169.51,1,0
390.0,53.1,33.6,12.42,13.6,165.85,0,0
400.0,55.2,32.7,12.48,13.72,171.95,0,0
410.0,53.1,34.2,12.47,13.41,171.95,0,0
420.0,51.1,34.9,12.47,13.41,169.51,0,0
430.0,49.9,35.3,12.47,13.6,171.95,1,0
440.0,49.1,35.5,12.39,13.41,169.51,1,0
450.0,53.5,33.6,12.38,13.41,165.85,0,0
460.0,55.0,32.7,12.44,13.41,165.85,0,0
470.0,53.0,34.1,12.42,13.48,168.29,0,0
480.0,51.5,34.9,12.42,13.41,165.85,0,0
490.0,50.1,35.3,12.42,13.41,171.95,1,0
500.0,49.2,35.6,12.34,13.48,165.85,1,0
510.0,53.4,33.6,12.33,13.6,162.2,0,0
520.0,55.2,32.7,12.39,13.29,168.29,0,0
530.0,52.9,34.2,12.39,13.72,168.29,0,0
540.0,51.1,34.9,12.38,13.41,169.51,0,0
550.0,50.2,35.3,12.38,13.72,165.85,1,0
560.0,49.1,35.6,12.3,13.41,165.85,1,0
570.0,52.5,33.6,12.29,13.6,165.85,0,0
580.0,52.8,34.0,12.34,13.72,168.29,0,0
590.0,52.8,34.0,12.34,13.41,169.51,0,0
600.0,50.7,34.7,12.34,13.48,168.29,0,0
610.0,49.5,35.1,12.33,13.48,169.51,1,0
620.0,48.7,35.3,12.26,13.29,163.41,1,0
630.0,50.9,33.3,12.24,13.17,162.2,0,0
640.0,52.1,32.4,12.3,13.29,165.85,0,0
650.0,50.5,33.8,12.3,13.29,165.85,0,0
660.0,49.1,34.5,12.3,13.17,165.85,0,0
670.0,47.7,34.9,12.29,13.41,165.85,0,0
680.0,46.5,35.1,12.28,13.17,168.29,1,0
690.0,45.7,35.2,12.21,13.48,163.41,1,0
700.0,46.6,33.2,12.19,13.17,159.76,0,0
710.0,47.3,32.3,12.25,13.29,165.85,0,0
720.0,46.1,33.7,12.24,13.72,162.2,0,0
730.0,44.5,34.3,12.24,13.41,163.41,0,0
740.0,42.0,34.9,12.24,13.48,163.41,0,0
750.0,41.9,34.9,12.23,13.29,163.41,0,0
760.0,39.7,35.1,12.23,13.48,165.85,1,0
770.0,39.7,35.1,12.16,13.17,163.41,1,0
780.0,37.3,33.1,12.15,13.17,162.2,0,0
790.0,37.2,32.4,12.2,13.17,159.76,0,0
800.0,37.2,33.6,12.2,13.17,162.2,0,0
810.0,35.7,34.3,12.19,13.29,162.2,0,0
820.0,34.0,34.7,12.18,13.17,163.41,0,0
830.0,31.9,34.8,12.18,13.48,162.2,0,0
840.0,30.0,35.0,12.18,13.29,162.2,0,0
850.0,28.4,35.0,12.18,13.17,165.85,0,0
860.0,27.1,35.1,12.17,13.29,162.2,1,0
870.0,26.0,35.2,12.1,13.17,163.41,1,0
880.0,22.3,33.3,12.08,13.11,156.1,0,0
890.0,22.1,32.4,12.14,13.29,159.76,0,0
900.0,23.0,33.7,12.13,13.17,162.2,0,0
910.0,22.9,34.4,12.12,13.41,162.2,0,0
920.0,22.6,34.8,12.12,13.17,163.41,0,0
