Time,Humidity,Temperature,Voltage,fan,heat
10/11 18:51,51.0,24.1,0,0,0
10/11 18:52,44.5,24.2,0,0,0
10/11 18:52,54.2,24.2,0,0,0
10/11 18:52,61.9,24.2,0,1,0
10/11 18:52,51.8,24.4,0,0,0
10/11 18:52,50.4,24.5,0,0,0
10/11 18:52,49.7,24.5,0,0,0
10/11 18:52,49.3,24.5,0,0,0
10/11 18:52,48.9,24.6,0,0,0
10/11 18:52,48.1,24.6,0,0,0
10/11 18:52,47.7,24.6,0,0,0
10/11 18:52,47.4,24.6,0,0,0
10/11 18:52,47.2,24.6,0,0,0
10/11 18:52,47.0,24.6,0,0,0
10/11 18:52,46.8,24.6,0,0,0
10/11 18:52,46.7,24.6,0,0,0
10/11 18:52,46.5,24.6,0,0,0
10/11 18:52,46.4,24.6,0,0,0
10/11 18:52,46.3,24.6,0,0,0
10/11 18:52,46.1,24.6,0,0,0
10/11 18:52,45.9,24.6,0,0,0
10/11 18:52,45.7,24.6,0,0,0
10/11 18:52,45.5,24.6,0,0,0
10/11 18:52,45.2,24.6,0,0,0
10/11 18:52,45.2,24.6,0,0,0
10/11 18:52,45.1,24.5,0,0,0
10/11 18:52,45.1,24.6,0,0,0
10/11 18:52,44.9,24.5,0,0,0
10/11 18:53,44.4,24.5,0,0,0
10/11 18:53,44.2,24.5,0,0,0
10/11 18:53,44.1,24.5,0,0,0
10/11 18:53,44.9,24.5,0,0,0
10/11 18:53,44.9,24.5,0,0,0
10/11 18:53,44.8,24.4,0,0,0
10/11 18:53,44.7,24.4,0,0,0
10/11 18:53,44.6,24.4,0,0,0
10/11 18:53,44.5,24.4,0,0,0
10/11 18:53,44.5,24.4,0,0,0
10/11 18:53,45.0,24.4,0,0,0
10/11 18:53,45.4,24.4,0,0,0
10/11 18:53,46.0,24.4,0,0,0
10/11 18:53,46.3,24.4,0,0,0
10/11 18:53,46.2,24.4,0,0,0
10/11 18:53,46.1,24.4,0,0,0
10/11 18:53,46.1,24.4,0,0,0
10/11 18:53,45.9,24.4,0,0,0
10/11 18:53,45.7,24.4,0,0,0
10/11 18:53,45.6,24.4,0,0,0
10/11 18:53,45.3,24.4,0,0,0
10/11 18:53,45.1,24.4,0,0,0
10/11 18:53,45.0,24.4,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,45.0,24.4,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.9,24.3,0,0,0
10/11 18:53,44.8,24.3,0,0,0
10/11 18:53,44.7,24.3,0,0,0
10/11 18:54,44.5,24.3,0,0,0
10/11 18:54,44.3,24.3,0,0,0
10/11 18:54,44.2,24.3,0,0,0
10/11 18:54,44.1,24.3,0,0,0
10/11 18:54,44.1,24.3,0,0,0
10/11 18:54,43.9,24.2,0,0,0
10/11 18:54,43.6,24.2,0,0,0
10/11 18:54,43.9,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.7,24.2,0,0,0
10/11 18:54,43.7,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.8,24.2,0,0,0
10/11 18:54,43.9,24.2,0,0,0
10/11 18:54,43.9,24.2,0,0,0
10/11 18:54,43.9,24.2,0,0,0
10/11 18:54,43.9,24.1,0,0,0
10/11 18:54,44.0,24.2,0,0,0
10/11 18:54,44.0,24.2,0,0,0
10/11 18:54,44.1,24.2,0,0,0
10/11 18:54,44.1,24.2,0,0,0
10/11 18:54,44.0,24.1,0,0,0
10/11 18:54,44.1,24.2,0,0,0
10/11 18:54,44.1,24.1,0,0,0
10/11 18:54,44.1,24.1,0,0,0
10/11 18:54,44.1,24.1,0,0,0
10/11 18:54,44.2,24.1,0,0,0
10/11 18:55,44.3,24.1,0,0,0
10/11 18:55,44.4,24.1,0,0,0
10/11 18:55,44.5,24.1,0,0,0
10/11 18:55,44.5,24.1,0,0,0
10/11 18:55,44.5,24.1,0,0,0
10/11 18:55,44.6,24.1,0,0,0
10/11 18:55,44.6,24.1,0,0,0
10/11 18:55,44.6,24.1,0,0,0
10/11 18:55,44.7,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.7,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.7,24.0,0,0,0
10/11 18:55,44.7,24.0,0,0,0
10/11 18:55,44.8,24.1,0,0,0
10/11 18:55,44.7,24.0,0,0,0
10/11 18:55,44.8,24.0,0,0,0
10/11 18:55,44.9,24.0,0,0,0
10/11 18:55,44.9,24.0,0,0,0
10/11 18:55,45.0,24.0,0,0,0
10/11 18:55,45.0,24.0,0,0,0
10/11 18:55,45.0,24.0,0,0,0
10/11 18:55,45.1,24.0,0,0,0
10/11 18:55,45.1,24.0,0,0,0
10/11 18:55,45.1,24.0,0,0,0
10/11 18:55,45.2,24.0,0,0,0
10/11 18:55,45.2,24.0,0,0,0
10/11 18:55,45.3,24.1,0,0,0
10/11 18:56,45.3,24.0,0,0,0
10/11 18:56,45.3,24.0,0,0,0
10/11 18:56,45.3,24.0,0,0,0
10/11 18:56,45.3,24.0,0,0,0
10/11 18:56,45.4,24.0,0,0,0
10/11 18:56,45.4,24.0,0,0,0
10/11 18:56,45.4,24.0,0,0,0
10/11 18:56,45.4,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,24.0,0,0,0
10/11 18:56,45.5,23.9,0,0,0
10/11 18:56,45.6,23.9,0,0,0
10/11 18:56,45.5,23.9,0,0,0
10/11 18:56,45.6,23.9,0,0,0
10/11 18:56,45.6,24.0,0,0,0
10/11 18:56,45.5,23.9,0,0,0
10/11 18:56,45.6,23.9,0,0,0
10/11 18:56,45.7,23.9,0,0,0
10/11 18:56,45.7,23.9,0,0,0
10/11 18:56,45.7,23.9,0,0,0
10/11 18:56,45.7,23.9,0,0,0
10/11 18:56,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.7,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.8,23.9,0,0,0
10/11 18:57,45.7,23.8,0,0,0
10/11 18:57,45.7,23.8,0,0,0
10/11 18:57,45.7,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.7,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:57,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.7,23.8,0,0,0
10/11 18:58,45.8,23.8,0,0,0
10/11 18:58,45.8,23.7,0,0,0
10/11 18:58,45.5,23.7,0,0,0
10/11 18:58,44.9,23.7,0,0,0
10/11 18:58,44.4,23.7,0,0,0
10/11 18:58,44.4,23.7,0,0,0
10/11 18:58,44.4,23.7,0,0,0
10/11 18:58,44.4,23.7,0,0,0
10/11 18:58,44.4,23.7,0,0,0
10/11 18:58,44.3,23.7,0,0,0
10/11 18:58,44.3,23.7,0,0,0
10/11 18:58,44.3,23.7,0,0,0
10/11 18:58,44.1,23.7,0,0,0
10/11 18:58,44.0,23.6,0,0,0
10/11 18:58,44.0,23.7,0,0,0
10/11 18:58,44.0,23.7,0,0,0
10/11 18:58,43.8,23.6,0,0,0
10/11 18:58,43.8,23.6,0,0,0
10/11 18:58,43.7,23.6,0,0,0
10/11 18:59,43.6,23.6,0,0,0
10/11 18:59,43.5,23.6,0,0,0
10/11 18:59,43.4,23.6,0,0,0
10/11 18:59,43.4,23.6,0,0,0
10/11 18:59,43.3,23.6,0,0,0
10/11 18:59,43.3,23.6,0,0,0
10/11 18:59,43.2,23.6,0,0,0
10/11 18:59,43.0,23.6,0,0,0
10/11 18:59,42.9,23.6,0,0,0
10/11 18:59,42.9,23.6,0,0,0
10/11 18:59,42.8,23.6,0,0,0
10/11 18:59,42.4,23.5,0,0,0
10/11 18:59,42.2,23.5,0,0,0
10/11 18:59,42.1,23.5,0,0,0
10/11 18:59,42.2,23.5,0,0,0
10/11 18:59,42.1,23.4,0,0,0
10/11 18:59,42.1,23.4,0,0,0
10/11 18:59,42.1,23.4,0,0,0
10/11 18:59,42.0,23.4,0,0,0
10/11 18:59,41.9,23.4,0,0,0
10/11 18:59,41.8,23.4,0,0,0
10/11 18:59,41.8,23.4,0,0,0
10/11 18:59,41.7,23.4,0,0,0
10/11 18:59,41.7,23.4,0,0,0
10/11 18:59,41.7,23.4,0,0,0
10/11 18:59,41.7,23.4,0,0,0
