Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,40.5,24.2,12.94,14.02,181.71,0,0
20.0,39.2,24.2,12.92,14.02,181.71,0,0
30.0,13.8,14.0,12.9,13.48,171.95,0,1
40.0,13.0,13.6,12.46,13.17,163.41,0,1
50.0,13.5,12.0,12.36,13.11,159.76,0,1
60.0,14.1,12.1,12.26,12.93,162.2,0,1
70.0,14.1,12.1,12.16,12.99,157.32,0,1
80.0,13.2,11.7,12.08,12.68,153.66,0,1
90.0,14.6,11.2,11.99,12.8,152.44,0,1
100.0,13.9,9.7,11.9,12.62,150.0,0,1
110.0,13.9,9.5,11.82,12.5,143.9,0,1
120.0,13.5,9.0,11.72,12.5,146.34,0,1
130.0,13.6,8.6,11.63,12.5,141.46,0,1
140.0,13.3,7.9,11.53,12.07,140.24,0,1
150.0,14.5,7.2,11.42,12.01,134.15,0,1
160.0,18.0,8.7,11.28,12.01,131.71,0,1
170.0,20.1,10.7,11.1,11.59,129.27,0,1
180.0,15.8,11.2,10.52,11.22,115.85,0,1
190.0,14.3,9.3,7.9,8.48,65.85,0,1
