time,bus_voltage
2019-09-19 14:51:34.330222,12.444
2019-09-19 14:56:34.432195,12.448
2019-09-19 15:01:34.534535,12.424
2019-09-19 15:06:34.636820,12.412
2019-09-19 15:11:34.739094,12.38
2019-09-19 15:16:34.841348,12.36
2019-09-19 15:21:34.943602,12.336
2019-09-19 15:26:35.045866,12.308
2019-09-19 15:31:35.148127,11.408
2019-09-19 15:36:35.250478,10.152
2019-09-19 15:41:35.352738,10.196
2019-09-19 15:46:35.455066,10.208
2019-09-19 15:51:35.557348,10.22
2019-09-19 15:56:35.659636,10.22
2019-09-19 16:01:35.761907,10.228
2019-09-19 16:06:35.800902,10.224
2019-09-19 16:11:35.903187,10.232
2019-09-19 16:16:36.005482,10.232
2019-09-19 16:21:36.107764,10.232
2019-09-19 16:26:36.210119,10.232
2019-09-19 16:31:36.306449,10.232
2019-09-19 16:36:36.408719,10.236
2019-09-19 16:41:36.511068,10.236
2019-09-19 16:46:36.613332,10.236
2019-09-19 16:51:36.705597,10.232
2019-09-19 16:56:36.807876,10.232
2019-09-19 17:01:36.910224,10.232
2019-09-19 17:06:37.012501,10.232
2019-09-19 17:11:37.114777,10.228
2019-09-19 17:16:37.217053,10.232
2019-09-19 17:21:37.319327,10.228
2019-09-19 17:26:37.421606,10.224
2019-09-19 17:31:37.523888,10.22
2019-09-19 17:36:37.626158,10.22
2019-09-19 17:41:37.728418,10.216
2019-09-19 17:46:37.830803,10.212
2019-09-19 17:51:37.933113,10.2
2019-09-19 17:56:38.035354,10.2
2019-09-19 18:01:38.137595,10.196
2019-09-19 18:06:38.239941,10.192
2019-09-19 18:11:38.342190,10.184
2019-09-19 18:16:38.444428,10.184
2019-09-19 18:21:38.546693,10.176
2019-09-19 18:26:38.648976,10.176
2019-09-19 18:31:38.751252,10.164
2019-09-19 18:36:38.853538,10.16
2019-09-19 18:41:38.955809,10.16
2019-09-19 18:46:39.058078,10.148
2019-09-19 18:51:39.160481,10.144
2019-09-19 18:56:39.262757,10.144
2019-09-19 19:01:39.365039,10.14
2019-09-19 19:06:39.467360,10.136
2019-09-19 19:11:39.569632,10.132
2019-09-19 19:16:39.671907,10.124
2019-09-19 19:21:39.774168,10.12
2019-09-19 19:26:39.876448,10.116
2019-09-19 19:31:39.978818,10.112
2019-09-19 19:36:40.081098,10.112
2019-09-19 19:41:40.183382,10.104
2019-09-19 19:46:40.285647,10.1
2019-09-19 19:51:40.387927,10.1
2019-09-19 19:56:40.490332,10.1
2019-09-19 20:01:40.592606,10.084
2019-09-19 20:06:40.694886,10.072
2019-09-19 20:11:40.704869,10.08
2019-09-19 20:16:40.807148,10.08
